,GSM1169543
total_reads,19452670
clipped_reads,918
filtered_out,285
filter_kept,633
transcriptome_aligned_once,530
transcriptome_aligned_many,37
transcriptome_total_aligned,567
transcriptome_unaligned,66
qpass_aligned_reads,537
after_dedup,537
